UserId	CheckinTime	VenueId	VenueType	X	Y
29	2019-07-06T07:50:00	57	Apartment	-1970.27610032558	2530.2140351451935
110	2019-07-06T07:50:00	224	Restaurant	72.06290852190406	5235.805434177497
118	2019-07-06T07:50:00	162	Apartment	-76.80355792305352	5968.007281479373
244	2019-07-06T07:50:00	455	Pub	-4208.95825391248	5444.842765370748
245	2019-07-06T07:50:00	73	Pub	2115.0617755277826	2662.7099618813054
18	2019-07-06T07:55:00	73	Pub	2115.0617755277826	2662.7099618813054
34	2019-07-06T07:55:00	299	Restaurant	944.2472848304708	4411.842413592623
66	2019-07-06T07:55:00	73	Pub	2115.0617755277826	2662.7099618813054
77	2019-07-06T07:55:00	149	Restaurant	3214.831164254914	1854.2532487275216
120	2019-07-06T07:55:00	223	Pub	409.366639029351	4737.119867861318
135	2019-07-06T07:55:00	235	Apartment	2272.4742272417743	3751.500656635716
140	2019-07-06T07:55:00	256	Apartment	2523.537524904813	4969.351450009402
148	2019-07-06T07:55:00	455	Pub	-4208.95825391248	5444.842765370748
172	2019-07-06T07:55:00	211	Apartment	-1014.1950847166598	6174.87379532933
189	2019-07-06T07:55:00	456	Restaurant	-4521.189679594014	4847.099060257379
243	2019-07-06T07:55:00	455	Pub	-4208.95825391248	5444.842765370748
249	2019-07-06T07:55:00	149	Restaurant	3214.831164254914	1854.2532487275216
11	2019-07-06T08:00:00	73	Pub	2115.0617755277826	2662.7099618813054
14	2019-07-06T08:00:00	73	Pub	2115.0617755277826	2662.7099618813054
31	2019-07-06T08:00:00	299	Restaurant	944.2472848304708	4411.842413592623
91	2019-07-06T08:00:00	223	Pub	409.366639029351	4737.119867861318
124	2019-07-06T08:00:00	299	Restaurant	944.2472848304708	4411.842413592623
185	2019-07-06T08:00:00	298	Pub	4171.157508848106	2832.550929200438
235	2019-07-06T08:00:00	166	Apartment	-101.06503531472451	6855.738478252393
241	2019-07-06T08:00:00	456	Restaurant	-4521.189679594014	4847.099060257379
5	2019-07-06T08:05:00	259	Apartment	2486.6091421540077	4889.996528218143
21	2019-07-06T08:05:00	298	Pub	4171.157508848106	2832.550929200438
58	2019-07-06T08:05:00	104	Apartment	2635.1665063344135	-391.2644569802279
89	2019-07-06T08:05:00	195	Apartment	627.1369739118836	6928.729582581638
96	2019-07-06T08:05:00	223	Pub	409.366639029351	4737.119867861318
130	2019-07-06T08:05:00	279	Apartment	2396.446877881094	4872.246349030326
131	2019-07-06T08:05:00	275	Apartment	3976.981842127272	3182.045046756719
133	2019-07-06T08:05:00	299	Restaurant	944.2472848304708	4411.842413592623
137	2019-07-06T08:05:00	280	Apartment	2330.5439215120705	3777.8947806416854
186	2019-07-06T08:05:00	73	Pub	2115.0617755277826	2662.7099618813054
200	2019-07-06T08:05:00	325	Apartment	1728.99454310459	8055.634006694975
225	2019-07-06T08:05:00	456	Restaurant	-4521.189679594014	4847.099060257379
236	2019-07-06T08:05:00	444	Workplace	-4320.689320494152	6176.165022804336
242	2019-07-06T08:05:00	98	Apartment	6684.378807910542	-634.229010986669
12	2019-07-06T08:10:00	374	Restaurant	3457.9857195275254	4293.203806306731
23	2019-07-06T08:10:00	299	Restaurant	944.2472848304708	4411.842413592623
42	2019-07-06T08:10:00	310	Apartment	4471.068342407609	6827.255988593998
55	2019-07-06T08:10:00	94	Apartment	1415.1604252524207	98.40222671505886
106	2019-07-06T08:10:00	213	Workplace	-1147.8751445611601	5559.75798697999
109	2019-07-06T08:10:00	224	Restaurant	72.06290852190406	5235.805434177497
134	2019-07-06T08:10:00	250	Apartment	3852.074530360407	2781.9110614998385
142	2019-07-06T08:10:00	455	Pub	-4208.95825391248	5444.842765370748
160	2019-07-06T08:10:00	455	Pub	-4208.95825391248	5444.842765370748
165	2019-07-06T08:10:00	223	Pub	409.366639029351	4737.119867861318
1	2019-07-06T08:15:00	64	Workplace	104.02853855691293	1571.2829709503274
27	2019-07-06T08:15:00	49	Apartment	474.02244661859044	2792.388055461804
56	2019-07-06T08:15:00	224	Restaurant	72.06290852190406	5235.805434177497
73	2019-07-06T08:15:00	56	Apartment	-1980.0088291316638	4510.611464595902
100	2019-07-06T08:15:00	224	Restaurant	72.06290852190406	5235.805434177497
102	2019-07-06T08:15:00	223	Pub	409.366639029351	4737.119867861318
136	2019-07-06T08:15:00	289	Workplace	2240.990165743125	4982.834099260159
162	2019-07-06T08:15:00	298	Pub	4171.157508848106	2832.550929200438
171	2019-07-06T08:15:00	322	Apartment	2963.952490318319	7400.0496539586875
173	2019-07-06T08:15:00	455	Pub	-4208.95825391248	5444.842765370748
198	2019-07-06T08:15:00	374	Restaurant	3457.9857195275254	4293.203806306731
247	2019-07-06T08:15:00	224	Restaurant	72.06290852190406	5235.805434177497
39	2019-07-06T08:20:00	224	Restaurant	72.06290852190406	5235.805434177497
78	2019-07-06T08:20:00	149	Restaurant	3214.831164254914	1854.2532487275216
101	2019-07-06T08:20:00	222	Workplace	-1151.1813243627453	5632.5318379441715
119	2019-07-06T08:20:00	335	Apartment	4082.0766899526825	5597.420818714409
141	2019-07-06T08:20:00	299	Restaurant	944.2472848304708	4411.842413592623
187	2019-07-06T08:20:00	298	Pub	4171.157508848106	2832.550929200438
221	2019-07-06T08:20:00	27	Apartment	-3165.547408598171	3243.126010037233
2	2019-07-06T08:25:00	205	Apartment	-399.08811902628963	6626.032793832787
16	2019-07-06T08:25:00	299	Restaurant	944.2472848304708	4411.842413592623
38	2019-07-06T08:25:00	73	Pub	2115.0617755277826	2662.7099618813054
49	2019-07-06T08:25:00	149	Restaurant	3214.831164254914	1854.2532487275216
84	2019-07-06T08:25:00	224	Restaurant	72.06290852190406	5235.805434177497
129	2019-07-06T08:25:00	295	Workplace	1385.9094651757312	3610.2675923037073
150	2019-07-06T08:25:00	289	Workplace	2240.990165743125	4982.834099260159
182	2019-07-06T08:25:00	374	Restaurant	3457.9857195275254	4293.203806306731
202	2019-07-06T08:25:00	18	Apartment	-2801.1691582128187	3468.4266905614522
207	2019-07-06T08:25:00	456	Restaurant	-4521.189679594014	4847.099060257379
226	2019-07-06T08:25:00	374	Restaurant	3457.9857195275254	4293.203806306731
241	2019-07-06T08:25:00	437	Apartment	-4041.766545819799	4819.927170688106
20	2019-07-06T08:30:00	67	Workplace	-704.6131525970096	2749.535586348292
24	2019-07-06T08:30:00	30	Apartment	-2135.4897745814687	3471.3093906210765
28	2019-07-06T08:30:00	299	Restaurant	944.2472848304708	4411.842413592623
91	2019-07-06T08:30:00	299	Restaurant	944.2472848304708	4411.842413592623
137	2019-07-06T08:30:00	73	Pub	2115.0617755277826	2662.7099618813054
193	2019-07-06T08:30:00	323	Apartment	2636.7624519313786	7196.421834940242
197	2019-07-06T08:30:00	201	Apartment	33.100918928483125	6801.240832311769
32	2019-07-06T08:35:00	299	Restaurant	944.2472848304708	4411.842413592623
36	2019-07-06T08:35:00	216	Workplace	350.6733346221022	4940.407555574247
40	2019-07-06T08:35:00	56	Apartment	-1980.0088291316638	4510.611464595902
52	2019-07-06T08:35:00	73	Pub	2115.0617755277826	2662.7099618813054
59	2019-07-06T08:35:00	149	Restaurant	3214.831164254914	1854.2532487275216
92	2019-07-06T08:35:00	223	Pub	409.366639029351	4737.119867861318
113	2019-07-06T08:35:00	223	Pub	409.366639029351	4737.119867861318
117	2019-07-06T08:35:00	223	Pub	409.366639029351	4737.119867861318
133	2019-07-06T08:35:00	233	Apartment	1117.4321156772285	3799.1224031538763
181	2019-07-06T08:35:00	149	Restaurant	3214.831164254914	1854.2532487275216
188	2019-07-06T08:35:00	8	Apartment	-3025.9919599441423	3753.5975097869123
196	2019-07-06T08:35:00	455	Pub	-4208.95825391248	5444.842765370748
204	2019-07-06T08:35:00	424	Apartment	-3729.498028259099	6788.23224519914
0	2019-07-06T08:40:00	373	Pub	2134.8180662065633	7855.141309104324
4	2019-07-06T08:40:00	161	Apartment	-236.38649121357224	6624.773212476495
25	2019-07-06T08:40:00	298	Pub	4171.157508848106	2832.550929200438
30	2019-07-06T08:40:00	456	Restaurant	-4521.189679594014	4847.099060257379
33	2019-07-06T08:40:00	299	Restaurant	944.2472848304708	4411.842413592623
37	2019-07-06T08:40:00	299	Restaurant	944.2472848304708	4411.842413592623
80	2019-07-06T08:40:00	121	Apartment	6406.174761288874	831.9487505173522
111	2019-07-06T08:40:00	455	Pub	-4208.95825391248	5444.842765370748
124	2019-07-06T08:40:00	241	Apartment	1523.5158344363394	3125.4996006883066
132	2019-07-06T08:40:00	374	Restaurant	3457.9857195275254	4293.203806306731
135	2019-07-06T08:40:00	223	Pub	409.366639029351	4737.119867861318
149	2019-07-06T08:40:00	223	Pub	409.366639029351	4737.119867861318
155	2019-07-06T08:40:00	449	Workplace	-4529.027901264648	4823.0957841501695
158	2019-07-06T08:40:00	314	Apartment	3775.91988806081	7992.8775168204065
164	2019-07-06T08:40:00	312	Apartment	4013.700697959217	7273.419350191725
168	2019-07-06T08:40:00	223	Pub	409.366639029351	4737.119867861318
170	2019-07-06T08:40:00	73	Pub	2115.0617755277826	2662.7099618813054
195	2019-07-06T08:40:00	73	Pub	2115.0617755277826	2662.7099618813054
198	2019-07-06T08:40:00	286	Apartment	3277.4130466944766	4109.406387764666
201	2019-07-06T08:40:00	373	Pub	2134.8180662065633	7855.141309104324
3	2019-07-06T08:45:00	298	Pub	4171.157508848106	2832.550929200438
5	2019-07-06T08:45:00	223	Pub	409.366639029351	4737.119867861318
12	2019-07-06T08:45:00	277	Apartment	3253.385499048617	4971.224578653584
45	2019-07-06T08:45:00	148	Pub	6925.053654877389	-627.6941716386941
47	2019-07-06T08:45:00	149	Restaurant	3214.831164254914	1854.2532487275216
99	2019-07-06T08:45:00	223	Pub	409.366639029351	4737.119867861318
140	2019-07-06T08:45:00	298	Pub	4171.157508848106	2832.550929200438
141	2019-07-06T08:45:00	230	Apartment	1205.0292752375603	4219.8319818260625
157	2019-07-06T08:45:00	9	Apartment	2217.9181523148563	2237.066412590325
178	2019-07-06T08:45:00	374	Restaurant	3457.9857195275254	4293.203806306731
